pair,frame,label,cell_id,n_contour_points,mean_curvature,max_abs_curvature,mean_fluorescence,max_fluorescence
Spn3-GFP_Sad1-mCh_080724_015,0,28,Spn3-GFP_Sad1-mCh_080724_015_f0000_l28,300,0.01763589060198016,0.07758617278963363,456.3900752766927,2373.600830078125
Spn3-GFP_Sad1-mCh_080724_015,0,29,Spn3-GFP_Sad1-mCh_080724_015_f0000_l29,300,0.014646619570824854,0.203811082324899,316.3413354492188,848.64111328125
Spn3-GFP_Sad1-mCh_080724_015,0,30,Spn3-GFP_Sad1-mCh_080724_015_f0000_l30,300,0.01014187268035903,0.046845759808539854,236.79144287109375,840.864013671875
Spn3-GFP_Sad1-mCh_080724_015,0,31,Spn3-GFP_Sad1-mCh_080724_015_f0000_l31,300,0.01639610492711918,0.06250423094667,437.35458902994793,2318.57275390625
Spn3-GFP_Sad1-mCh_080724_015,0,40,Spn3-GFP_Sad1-mCh_080724_015_f0000_l40,300,0.01796118415678413,0.08077559981165047,432.34118693033855,2131.24658203125
Spn3-GFP_Sad1-mCh_080724_017,0,1,Spn3-GFP_Sad1-mCh_080724_017_f0000_l1,300,0.014539926881079133,0.03741796902504093,206.45041544596353,447.620849609375
Spn3-GFP_Sad1-mCh_080724_017,0,4,Spn3-GFP_Sad1-mCh_080724_017_f0000_l4,300,0.014162586868266007,0.04258519506258395,300.5247489420573,481.1129150390625
Spn3-GFP_Sad1-mCh_080724_017,0,5,Spn3-GFP_Sad1-mCh_080724_017_f0000_l5,300,0.014457001669889185,0.052239319127710196,284.27848876953124,817.42138671875
Spn3-GFP_Sad1-mCh_080724_017,0,6,Spn3-GFP_Sad1-mCh_080724_017_f0000_l6,300,0.010902353948001719,0.039814728033095804,300.336005859375,532.8492431640625
Spn3-GFP_Sad1-mCh_080724_017,0,7,Spn3-GFP_Sad1-mCh_080724_017_f0000_l7,300,0.014762516882230963,0.053522999157964664,340.72581583658854,977.10693359375
Spn3-GFP_Sad1-mCh_080724_017,0,8,Spn3-GFP_Sad1-mCh_080724_017_f0000_l8,300,0.014837924840878109,0.05705296140216014,278.48984822591143,887.73779296875
Spn3-GFP_Sad1-mCh_080724_017,0,9,Spn3-GFP_Sad1-mCh_080724_017_f0000_l9,300,0.014322730684151198,0.04485055327401481,300.76461222330727,840.751708984375
Spn3-GFP_Sad1-mCh_080724_017,0,10,Spn3-GFP_Sad1-mCh_080724_017_f0000_l10,300,0.01273872740040914,0.03906853978096623,296.88991088867186,496.251953125
Spn3-GFP_Sad1-mCh_080724_017,0,15,Spn3-GFP_Sad1-mCh_080724_017_f0000_l15,300,0.015112472137841337,0.06235315700495342,366.1214188639323,854.31689453125
Spn3-GFP_Sad1-mCh_080724_017,0,16,Spn3-GFP_Sad1-mCh_080724_017_f0000_l16,300,0.014565257003458187,0.08658777602546111,384.32971516927086,827.98388671875
Spn3-GFP_Sad1-mCh_080724_017,0,17,Spn3-GFP_Sad1-mCh_080724_017_f0000_l17,300,0.010568878181397467,0.0684012087708126,342.85511271158856,496.8863525390625
Spn3-GFP_Sad1-mCh_080724_017,0,18,Spn3-GFP_Sad1-mCh_080724_017_f0000_l18,300,0.012116305221706819,0.07139350335150031,307.51946899414065,666.870849609375
Spn3-GFP_Sad1-mCh_080724_017,0,19,Spn3-GFP_Sad1-mCh_080724_017_f0000_l19,300,0.015293682524922966,0.03661883905272059,270.80473754882814,462.5706787109375
Spn3-GFP_Sad1-mCh_080724_017,0,22,Spn3-GFP_Sad1-mCh_080724_017_f0000_l22,300,0.012335057652896438,0.1136336793413892,291.0526582845052,666.915283203125
Spn3-GFP_Sad1-mCh_080724_017,0,24,Spn3-GFP_Sad1-mCh_080724_017_f0000_l24,300,0.01625927247336908,0.034202368965041745,301.5286161295573,460.794921875
Spn3-GFP_Sad1-mCh_080724_017,0,25,Spn3-GFP_Sad1-mCh_080724_017_f0000_l25,300,0.014717672868186996,0.040409310599487235,337.5732499186198,558.4720458984375
Spn3-GFP_Sad1-mCh_080724_017,0,32,Spn3-GFP_Sad1-mCh_080724_017_f0000_l32,300,0.013610722098719386,0.04516088051327848,268.7829890950521,398.5777587890625
Spn3-GFP_Sad1-mCh_080724_017,0,33,Spn3-GFP_Sad1-mCh_080724_017_f0000_l33,300,0.015827679997810803,0.033281919305018844,251.51826619466146,358.6141357421875
Spn3-GFP_Sad1-mCh_080724_017,0,34,Spn3-GFP_Sad1-mCh_080724_017_f0000_l34,300,0.01091839708132954,0.04786008206514913,242.50423055013022,414.882080078125
Spn3-GFP_Sad1-mCh_080724_017,0,35,Spn3-GFP_Sad1-mCh_080724_017_f0000_l35,300,0.013337622912233085,0.04217094953582668,242.69417154947917,389.0501708984375
Spn3-GFP_Sad1-mCh_080724_017,0,36,Spn3-GFP_Sad1-mCh_080724_017_f0000_l36,300,0.014934708648993619,0.07066567596588022,307.78383341471357,874.278564453125
Spn3-GFP_Sad1-mCh_080724_017,0,37,Spn3-GFP_Sad1-mCh_080724_017_f0000_l37,300,0.014879897960623261,0.05449201393849367,308.5624491373698,938.722412109375
Spn3-GFP_Sad1-mCh_080724_019,0,3,Spn3-GFP_Sad1-mCh_080724_019_f0000_l3,300,0.015811431366318563,0.05705476529279227,244.78933512369792,937.136962890625
Spn3-GFP_Sad1-mCh_080724_019,0,4,Spn3-GFP_Sad1-mCh_080724_019_f0000_l4,300,0.01188088763943498,0.036949560172113226,197.37687947591147,341.7255859375
Spn3-GFP_Sad1-mCh_080724_019,0,5,Spn3-GFP_Sad1-mCh_080724_019_f0000_l5,300,0.011597026350624894,0.04140902096961433,284.5446464029948,902.601806640625
Spn3-GFP_Sad1-mCh_080724_019,0,6,Spn3-GFP_Sad1-mCh_080724_019_f0000_l6,300,0.01127182076620054,0.03982307633280493,259.40708740234373,530.522216796875
Spn3-GFP_Sad1-mCh_080724_019,0,7,Spn3-GFP_Sad1-mCh_080724_019_f0000_l7,300,0.01384088256139013,0.038756284434582386,203.33822265625,364.84033203125
Spn3-GFP_Sad1-mCh_080724_019,0,8,Spn3-GFP_Sad1-mCh_080724_019_f0000_l8,300,0.01377689484355393,0.04083077642400988,258.87123128255206,378.7269287109375
